Escenario,Descripción,Días inactividad evaluados,Headcount RRHH afiliadores activos,Nunca transaccionaron,Total excluidos,Afiliadores evaluados en KPI,Cumplimiento promedio %,Rotación operativa promedio %
Universo completo,Todos los afiliadores activos registrados en RRHH,,181,7,0,181,65.08,34.92
Nunca transaccionaron,Afiliadores activos que no realizaron ninguna transacción en el mes,0.0,181,7,7,174,67.7,32.3
Inactivos últimos 2 días,Excluye afiliadores sin transacciones en los últimos 2 días desde la fecha de corte,2.0,181,7,43,138,76.95,23.05
Inactivos últimos 3 días,Excluye afiliadores sin transacciones en los últimos 3 días desde la fecha de corte,3.0,181,7,35,146,75.03,24.97
Inactivos últimos 7 días,Excluye afiliadores sin transacciones en los últimos 7 días desde la fecha de corte,7.0,181,7,27,154,73.13,26.87
